"Имя","Категории","Описание","Краткое описание","Цена","Изображения","Изображения","Изображения","Артикул","video_youtube","pdf_instruction","tovar_articul_product","Значения атрибутов 1","Название атрибута 1","Название атрибута 2","Значения атрибутов 2","Название атрибута 3","Значения атрибутов 3","Название атрибута 4","Значения атрибутов 4","Название атрибута 5","Значения атрибутов 5","Название атрибута 6","Значения атрибутов 6","Название атрибута 7","Значения атрибутов 7","Название атрибута 8","Значения атрибутов 8","Название атрибута 9","Значения атрибутов 9","Название атрибута 10","Значения атрибутов 10","Название атрибута 11","Значения атрибутов 11","Название атрибута 12","Значения атрибутов 12","Название атрибута 13","Значения атрибутов 13","Название атрибута 14","Значения атрибутов 14","Название атрибута 15","Значения атрибутов 15","Название атрибута 16","Значения атрибутов 16","Название атрибута 17","Значения атрибутов 17","Название атрибута 18","Значения атрибутов 18","Название атрибута 19","Значения атрибутов 19","Название атрибута 20","Значения атрибутов 20","Название атрибута 21","Значения атрибутов 21","Название атрибута 22","Значения атрибутов 22"
"Резиновый адаптер малый Zeca  арт. 417.04","Контрольно-диагностическое > Обслуживание гидросистем","
			Резиновый адаптер малый Ø 16 - 33 мм. Для Zeca 417","Резиновый адаптер малый Ø 16 - 33 мм. Для Zeca 417",1222,"https://www.mkslift.ru/images/products/s_1200/5188_tExNpVEC4u.jpg",,"https://www.mkslift.ru/images/products/s_300/5188_tExNpVEC4u.jpg","417.04",,"https://www.mkslift.ru/UserFiles/files/Certificates/Zeca_EAC_20122020.pdf",417,"Zeca (Италия)","Бренд","Гарантия","12 мес.","Диаметр","23-41 мм.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Чехол защитный TopAuto  арт. Cover","Проверка света фар","
			Чехол защитный.","Чехол защитный.",4420,"https://www.mkslift.ru/images/products/s_1200/5195_E478DQWmCc.jpg","https://www.mkslift.ru/images/products/s_1200/5195_Tftf8tSezu.jpg","https://www.mkslift.ru/images/products/s_300/5195_E478DQWmCc.jpg","Cover",,"https://www.mkslift.ru/UserFiles/files/Certificates/TopAuto/EAC_HBA.pdf, https://www.mkslift.ru/UserFiles/files/Manuals/TOP/Comp_HBA!.pdf","HBA19D, HBA19D_grey, HBA19DZ_grey, HBA19DZ, HBA19DLX, HBA19DL1, HBA26D, HBA26D_grey, HBA26DZ, HBA26DZ_grey, HBA26D/L2, HBA26D/L2_grey, HBA26DLX, HBA24D, HBA29E, HBA24D/L2, HBA26D/L2LX, HBA40Touch/L2, HBA50CAM, HBA50CAMGO","TopAuto (Италия)","Бренд","Гарантия","12 мес.","Тип","чехол","Упак. размеры","300/200/10 Д/Ш/В, мм","Вес брутто","1 кг.","Кол-во мест","1 шт.","Вес","1 кг.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Версия с подогревом воздуха Saima  арт. Prisma","Покрасочное-кузовное > Зоны легковые","
			Группа приточной вентиляции с подогревом воздуха дизельной горелкой 5,5 кВт, 20 000 м3/ч, тепловая мощность 139 кВт","Группа приточной вентиляции с подогревом воздуха дизельной горелкой 5,5 кВт, 20 000 м3/ч, тепловая мощность 139 кВт",1219573,"https://www.mkslift.ru/images/products/s_1200/5206_wSTKpW9N3M.jpg",,"https://www.mkslift.ru/images/products/s_300/5206_wSTKpW9N3M.jpg","Prisma",,"https://www.mkslift.ru/UserFiles/files/Certificates/EAC_Saima_210719.pdf",,"Saima (Италия)","Бренд","Гарантия","12 мес.","Сеть","220/380 В","Мощность","5,5 кВт","Расход воздуха до","20000 м3/ч",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Утепление потолка Saima  арт. Insulation","Покрасочное-кузовное > Камеры легковые",,"Утепление потолка камеры",158947,"https://www.mkslift.ru/images/products/s_1200/5226_e3P3sXTs47.jpg",,"https://www.mkslift.ru/images/products/s_300/5226_e3P3sXTs47.jpg","Insulation",,"https://www.mkslift.ru/UserFiles/files/Certificates/EAC_Saima_210719.pdf",,"Saima (Италия)","Бренд","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Защитный кожух хомута 150 мм. Aerservice  арт. COM00021","Вытяжное > Насадки, тройники, балансиры, кронштейны","
			Защитный кожух хомута 150 мм","Защитный кожух хомута 150 мм.",2730,"https://www.mkslift.ru/images/products/s_1200/5283_rPvgZG2SCw.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png","COM00021",,"https://www.mkslift.ru/UserFiles/files/Certificates/Aerservice_EAC_02042018.pdf",,"Aerservice (Италия)","Бренд","Гарантия","12 мес.","Тип","аксессуар","Диаметр шланга","150 мм.","Длина","80 мм.","Диаметр","150 мм.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Увеличение высоты до 4800 мм. Werther-OMA  арт. T935.5","ТОВАРЫ СО СКИДКОЙ","
			Комплект (проставки+тросы) для увеличения габаритной высоты 208I/5L на 600 мм. (до 4800 мм), цвет синий","Комплект (проставки+тросы) для увеличения габаритной высоты 208I/5L на 600 мм. (до 4800 мм), цвет синий",146900,"https://www.mkslift.ru/images/products/s_1200/5333_gZtkkZ7Mn6.jpg",,"https://www.mkslift.ru/images/products/s_300/5333_gZtkkZ7Mn6.jpg","T935.5",,,,"Werther-OMA (Италия)","Бренд","Гарантия","""0"" мес.","Высота","600 мм.","Рабочая высота до","5100 мм.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Накладка опоры для домкрата Compac  арт. 1002LF","ТОВАРЫ СО СКИДКОЙ","
			Накладки резиновые на подкатные домкраты:  и основная функция
Подкатной домкрат – одно из самых распространенных устройств, используемых в современных автосервисах, шиномонтажных мастерских, автохозяйствах и других смежных областях. Его основное предназначение – подъем корпуса автомобиля для расширения доступа мастеру к его узлам, системам и деталям. Также домкрат может использоваться для поднимания других габаритных грузов.
 
Для максимально безопасного подъема и опускания груза необходимо, чтобы на пяте подкатного домкрата была установлена резиновая накладка.
 
Производитель для изготовления накладок использует эластичную и очень прочную резину, способную выдерживать большие нагрузки и при этом полностью сохранять свою форму.
 
Главная функция резиновой накладки – это защита поднимаемого груза (в частности, автомобиля) в месте соприкосновения его с пятой домкрата от механических повреждений во время каких-либо работ. Пята домкрата при использовании резиновых накладок также становится защищенной от повреждений и деформаций.
 
Также накладка частично служит дополнительным фиксирующим элементом, который предотвращает срыв груза с опорной площадки домкрата.
Резиновая накладка на подкатной домкрат: преимущества модели

    Простота в использовании.
    Не нужен особый уход.
    Долгий срок эксплуатации.
    Универсальность – накладка подойдет к большинству существующих моделей подкатных домкратов.
    Высокое качество материала, используемого для производства накладок.
    Обеспечение безопасности мастера во время проведения диагностических или ремонтных работ с автомобилем (или другим объектом).
    Обеспечение сохранности целостности корпуса поднимаемого груза (при использовании резиновых накладок отсутствует вероятность повреждения лакокрасочного слоя груза).
    Доступная стоимость.

Купить накладки резиновые на подкатные домкраты
Приобрести накладки для пяты подкатного домкрата можно в интернет-магазине «МК-Слифт». Здесь данный товар реализуется по самым низким и приемлемым ценам. Возможен оптовый или розничный закуп. Обработка заявок клиентов осуществляется оперативно, как и последующая доставка оплаченного товара.","Накладка резиновая",1425,"https://www.mkslift.ru/images/products/s_1200/5351_mSGbXyhqYM.jpg","https://www.mkslift.ru/images/products/s_1200/5351_mSFFD4tp8m.jpg, https://www.mkslift.ru/images/products/s_1200/5351_TQrg2uGHWq.jpg","https://www.mkslift.ru/images/products/s_300/5351_mSGbXyhqYM.jpg","1002LF",,,3067,"Compac (Дания)","Бренд","Гарантия","12 мес.","Упак. размеры","150/150/20 Д/Ш/В, мм","Вес брутто","0,5 кг.","Кол-во мест","1 шт.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Станок для проверки герметичности головок и блоков цилиндров  Comec  арт. VPT160","Станки специальные > Ремонт двигателя","
			VPT 160 представляет собой бак с водой для проверки давления, определения с точностью возможных трещин и мест течи в головке блока цилиндров путем погружения в горячую воду. Бак вместе с крышкой изготовлен из нержавеющей стали и имеет превосходную изоляцию во избежание вытекания воды, нагрев которой осуществляется при помощи двух мощных нагревающих элементов, работающих независимо и управляемых автоматическим таймером, содержащим программы, направленные на оптимизацию и снижение потребления электроэнергии. Головка цилиндров зажимается с использованием стандартного оборудования, входящего в комплект станка, в лотке, который приводится в действие негабаритным гидроагрегатом,  который легко и безо всяких усилий переворачивает головку блока на 360° благодаря редуктору; все это позволяет рассмотреть головку со всех сторон, даже при полном погружении для легкого и быстрого обнаружения мест течи.
Технические особенности:

    Интегрированный рабочие освещение
    Вращение лотка на 360 °
    Резервуар изолированный из нержавеющей стали с покрытием 
    Пульт управления
    Подъемник лотка с гидроцилиндром
    Системы регулировки рабочего давления

Стандартная комплектация:

    Параллели фиксации головки цилиндров
    Регулируемые параллели для клинообразных головок
    Длинные стержни L=400 мм с гайками
    Короткие стержни L=350 мм с гайками
    Прижимы с шайбами
    Панель из оргстекла 220х800х30 мм
    Панель из оргстекла 330х800х30 мм
    Набор резиновых вкладышей разных размеров
    1/4"" М. быстрый разъем
    1/4"" F быстрый разъем
    Инструкция","Станок для проверки герметичности головок и блоков цилиндров",2165800,"https://www.mkslift.ru/images/products/s_1200/5376_A5KVYX53GT.jpg","https://www.mkslift.ru/images/products/s_1200/5376_8WcKebBZBr.jpg, https://www.mkslift.ru/images/products/s_1200/5376_Q3gcynVku6.jpg, https://www.mkslift.ru/images/products/s_1200/5376_yccUwRA533.jpg, https://www.mkslift.ru/images/products/s_1200/5376_A7z9aQ8cX8.jpg, https://www.mkslift.ru/images/products/s_1200/5376_w3AZKYPFWs.jpg","https://www.mkslift.ru/images/products/s_300/5376_A5KVYX53GT.jpg","VPT160","http://www.youtube.com/embed/UDgAHf3VVbs"," https://www.mkslift.ru/UserFiles/files/Certificates/Comec_EAC.pdf","ABT580, ABT581, ABT553, ABT128, ABT558","Comec (Италия)","Бренд","Гарантия","12 мес.","Тип","для головок блоков и блоков","Объем бака","645 л.","Длина","2100 мм.","Ширина","1100 мм.","Высота","1700 мм.","Вес","450 кг.","Длина рабочая макс.","1340 мм.","Мощность двигателя гидропривода","0,37 кВт","Мощность двигателя коретки","0,25 кВт","Нагревательные элементы","2х4,5 кВт","Рабочая высота до","360 мм.","Рабочий ход","600 мм.","Скорость вращения","4 об/мин","Скорость подъема-опусания коретки","60 мм/сек","Темп. диапазон","0-90 С","Ширина рабочая макс.","480 мм.",,,,,,,,
"Станок гидравлический для хонингования цилиндров  Comec  арт. LEV300","Станки специальные > Ремонт двигателя","
			LEV 250 это станок, созданный для хонингования цилиндров мотоциклов и автомобилей, а также и для других видов промышленного применения, где такой вид работ необходим.Жесткая конструкция станка обеспечивает его прочностью,а значит - высокой точностью шлифования.Система подачи хонинг-головки при помощи поршня приводится в действие гидроагрегатом, а скорость подачи регулируется клапаном, что позволяет добиться оптимального шлифования.Кроме того можно выбрать ручной способ подачи головки или автоматический, а также ограничить ход. Хонинг-головка имеет три скорости вращения, что позволяет более широко применять станок.Система быстрого зажима детали и эффективная система охлаждения с насосом и бачком входит в состав оборудования,поставляемого в стандартной комплектации.
Стандартная комплектация:

    Базовый шкаф 
    Быстрые зажимы
    Охлаждающая система
    Защитный  кожух
    Пара направляющих  АС0079 (250х50х25 мм)
    Регулируемый хон  LV0021 (d 30-90 mm)
    Набор ключей
    Инструкция","Станок, предназначенный для хонингования двигателей мотоциклов, легковых автомобилей, а также любых других двигателей с подходящими спецификациями.",4700423,"https://www.mkslift.ru/images/products/s_1200/5377_R5qkBMhKSc.jpg","https://www.mkslift.ru/images/products/s_1200/5377_QYbWNns6DP.jpg, https://www.mkslift.ru/images/products/s_1200/5377_5gBExzQZSH.jpg, https://www.mkslift.ru/images/products/s_1200/5377_xmTVQhDZwE.jpg, https://www.mkslift.ru/images/products/s_1200/5377_WB8K4ZQ7xR.jpg","https://www.mkslift.ru/images/products/s_300/5377_R5qkBMhKSc.jpg","LEV300",," https://www.mkslift.ru/UserFiles/files/Certificates/Comec_EAC.pdf",,"Comec (Италия)","Бренд","Гарантия","12 мес.","Тип","для цилиндров","Длина","1500 мм.","Ширина","950 мм.","Высота","2350 мм.","Вес","500 кг.","Мощность","1,65 кВт","Вертик. ход до","900 мм.","Высота деталей до","1100 мм.","Диаметр хонингования","31-150 мм.","Диаметр шлиф. инструмента","330 мм.","Мощность гидропривода подачи хона","0,75 кВт","Скорость вращения","70-140 об/мин","Ширина рабочая макс.","850 мм.",,,,,,,,,,,,,,
"Набор диэлектрических отверток KS-Tools  арт. 5006165","Распродажа инструмента","
			Набор диэлектрических отверток 7 предметов

    1,5х40 мм
    1,8х60 мм
    2х60 мм
    2,5х75 мм
    3х75 мм
    PH00х75 мм
    PH0х75 мм","Набор диэлектрических отверток 7 предметов",9880,"https://www.mkslift.ru/images/products/s_1200/5448_ydQVFHty5Q.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png",5006165,,,,"KS-Tools (Германия)","Бренд","Гарантия","12 мес.","Тип","отвертки",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Станок для обработки сёдел клапанов Comec  арт. FSV100","Станки специальные > Ремонт двигателя","
			      Высокоточный станок FSV, разработанный на основе передовых технологических и технических решений, который позволяет обрабатывать седла и направляющие клапанов всех видов головок цилиндров двигателя.

    Система автоматического центрирования, основанная на поперечном перемещении сферической и плоской воздушной подушки
    Электродвигатель с переменной скоростью, отображаемой на цифровом дисплее (преобразователь).
    Увеличено горизонтальное перемещение шпинделя.
    Три воздушные подушки. Первая — на верхней станине на шпиндельной бабке (2 оси). Вторая — на шпинделе (сферическая подушка 360°). Третья на зажимном приспособлении нижней части станины (2 оси).
    Зажим шпиндельной бабки станка обладает двойным пневматическим домкратом.
    Универсальное зажимное приспособление 2-х кулачкового типа, c вращением на 360°, с приспособлениями для всех видов головок цилиндров двигателя.
    Зажимы на нижней станине с двойными пневматическими домкратами.
    Универсальный, надежный и безопасный станок.
    Производственная мощность оборудования обеспечивает наилучшую точность для всех типов сёдел, любых видов головок блока цилиндров двигателей, от мотоцикла до промышленных транспортных средств.
    Позволяет производить обработку направляющих клапанов от 3,5 мм и сёдел с диаметром от 14 до 90 мм.
    Новый дизайн сборки для большей жесткости имеет чрезвычайно прочную конструкцию.
    Плоская воздушная подушка на головке блока цилиндров нижней станины позволяет добиться точного центрирования и разгрузить шпиндель от усилий.
    Новая нижняя станина позволяет работать с очень длинными промышленными головками двигателя.
    Регистрируемый механический ограничитель хода для повторяющихся работ.
    Интегрированное освещение с неоновым светом на станине машины и галогеновые лампы на шпиндельной бабке.
    Вакуумный тестер, заточный станок для твердосплавных резцов и инструментальная полка интегрированы в конструкцию машины.

Технические характеристики:
 

    
    
        
            
             Максимальные размеры головки блока цилиндров 
            
             
        
        
            Длина, мм
            745
        
        
            Ширина, мм
            228
        
        
            
            Высота, мм
            
            150
        
        
            Диапазон обработки, мм
            14-76
        
        
            
             Центрирующее перемещение шпиндельной головки 
            
             
        
        
            В продольном направлении, мм
            736
        
        
            Микрометрический поперечный ход, мм
            7
        
        
            
             Центрирующее перемещение станины 
            
             
        
        
            Поперечный ход, мм
            200
        
        
            В продольном направлении, мм
            11
        
        
            Вертикальное перемещение шпинделя , мм
            180
        
        
            Максимальный наклон шпинделя, град
            +/-15
        
        
            Мощность шпиндельного двигателя, кВт
            0,55
        
        
            Скорость вращения шпинделя, об/мин
            0-500
        
        
            Электропитание, кВт
            1,5","Станок для обработки направляющих и сёдел клапанов.",5062239,"https://www.mkslift.ru/images/products/s_1200/5488_kHm2dXMPxy.jpg","https://www.mkslift.ru/images/products/s_1200/5488_nnnsc7mmY9.jpg, https://www.mkslift.ru/images/products/s_1200/5488_czg6DubHFc.jpg, https://www.mkslift.ru/images/products/s_1200/5488_cRT5TNmeQY.jpg, https://www.mkslift.ru/images/products/s_1200/5488_zu9fRA2aQu.jpg, https://www.mkslift.ru/images/products/s_1200/5488_kvQak6SsUy.jpg, https://www.mkslift.ru/images/products/s_1200/5488_FhmD4qs4aH.jpg, https://www.mkslift.ru/images/products/s_1200/5488_rSxeGmqzM3.jpg","https://www.mkslift.ru/images/products/s_300/5488_kHm2dXMPxy.jpg","FSV100","http://www.youtube.com/embed/Er-g5SGKRqI","https://www.mkslift.ru/UserFiles/files/Certificates/Comec_EAC.pdf",,"Comec (Италия)","Бренд","Гарантия","12 мес.","Тип","для шлифовки клапанов/сёдел","Длина","1700 мм.","Ширина","1170 мм.","Высота","2210 мм.","Вес","710 кг.","Мощность","1,5+0,55 кВт","Воздух","6 бар","Расход воздуха","300 л/мин.","Скорость вращения","35-700 об/мин","Угол обработки","+/-6 град","Уровень давления шума","60 дБ",,,,,,,,,,,,,,,,,,
"Станок для обработки сёдел клапанов Comec  арт. FSV120","Станки специальные > Ремонт двигателя","
			      Высокоточный станок FSV, разработанный на основе передовых  технологических и технических решений, который позволяет обрабатывать  седла и направляющие клапанов всех видов головок цилиндров двигателя.

    Система автоматического центрирования, основанная на поперечном перемещении сферической и плоской воздушной подушки
    Электродвигатель с переменной скоростью, отображаемой на цифровом дисплее (преобразователь).
    Увеличено горизонтальное перемещение шпинделя.
    Три воздушные подушки. Первая — на верхней станине на  шпиндельной бабке (2 оси). Вторая — на шпинделе (сферическая подушка  360°). Третья на зажимном приспособлении нижней части станины (2 оси).
    Зажим шпиндельной бабки станка обладает двойным пневматическим домкратом.
    Универсальное зажимное приспособление 2-х кулачкового типа, c  вращением на 360°, с приспособлениями для всех видов головок цилиндров  двигателя.
    Зажимы на нижней станине с двойными пневматическими домкратами.
    Универсальный, надежный и безопасный станок.
    Производственная мощность оборудования обеспечивает наилучшую  точность для всех типов сёдел, любых видов головок блока цилиндров  двигателей, от мотоцикла до промышленных транспортных средств.
    Позволяет производить обработку направляющих клапанов от 3,5 мм и сёдел с диаметром от 14 до 90 мм.
    Новый дизайн сборки для большей жесткости имеет чрезвычайно прочную конструкцию.
    Плоская воздушная подушка на головке блока цилиндров нижней  станины позволяет добиться точного центрирования и разгрузить шпиндель  от усилий.
    Новая нижняя станина позволяет работать с очень длинными промышленными головками двигателя.
    Регистрируемый механический ограничитель хода для повторяющихся работ.
    Интегрированное освещение с неоновым светом на станине машины и галогеновые лампы на шпиндельной бабке.
    Вакуумный тестер, заточный станок для твердосплавных резцов и инструментальная полка интегрированы в конструкцию машины.

Технические характеристики:
 

    
    
        
            
             Максимальные размеры головки блока цилиндров 
            
             
        
        
            Длина, мм
            неограничена
        
        
            Ширина, мм
            550
        
        
            
            Высота, мм
            
            450
        
        
            Диапазон обработки, мм
            14-90
        
        
            
             Центрирующее перемещение шпиндельной головки 
            
             
        
        
            В продольном направлении, мм
            1100
        
        
            Микрометрический поперечный ход, мм
            7
        
        
            
             Центрирующее перемещение станины 
            
             
        
        
            Поперечный ход, мм
            200
        
        
            В продольном направлении, мм
            11
        
        
            Вертикальное перемещение шпинделя , мм
            200
        
        
            Максимальный наклон шпинделя, град
            +/-6
        
        
            Мощность шпиндельного двигателя, кВт
            0,75
        
        
            Скорость вращения шпинделя, об/мин
            35-700
        
        
            Электропитание, кВт
            1,5","Станок для обработки направляющих и сёдел клапанов.",7325500,"https://www.mkslift.ru/images/products/s_1200/5489_ZtEBGyr992.jpg",,"https://www.mkslift.ru/images/products/s_300/5489_ZtEBGyr992.jpg","FSV120","http://www.youtube.com/embed/ROlz-fKWnNw"," https://www.mkslift.ru/UserFiles/files/Certificates/Comec_EAC.pdf","UT4151-A1, UT4171-A1, UT4203-A1, UT3201-A1, UT2000-A1, UT4500-A1","Comec (Италия)","Бренд","Гарантия","12 мес.","Тип","для шлифовки клапанов/сёдел","Длина","1700 мм.","Ширина","1170 мм.","Высота","2210 мм.","Вес","1200 кг.","Мощность","1,5+0,75 кВт","Воздух","6 бар","Расход воздуха","300 л/мин.","Скорость вращения","35-700 об/мин","Угол обработки","+/-6 град","Уровень давления шума","60 дБ",,,,,,,,,,,,,,,,,,
"Набор адаптеров для LexusLS430 Comec  арт. TR3519","Станки специальные > Аксессуары для станков специальных",,"Набор адаптеров для LexusLS430",31213,"https://www.mkslift.runull",,"https://www.mkslift.ru/images/gayka200.jpg","TR3519",,"https://www.mkslift.ru/UserFiles/files/Certificates/Comec_EAC.pdf","TD302.MNF, TD302.TRI","Comec (Италия)","Бренд","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Набор адаптеров для Porsche Comec  арт. TR3520","Станки специальные > Аксессуары для станков специальных",,"Набор адаптеров для Porsche",31213,"https://www.mkslift.runull",,"https://www.mkslift.ru/images/gayka200.jpg","TR3520",,"https://www.mkslift.ru/UserFiles/files/Certificates/Comec_EAC.pdf","TD302.MNF, TD302.TRI","Comec (Италия)","Бренд","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Прибор контроля и регулировки света фар TopAuto  арт. HBA29E","Проверка света фар","
			Каждый из нас когда-либо сталкивался с ситуацией, когда в темное время суток, двигаясь по дороге, встречный автомобиль слепит фарами. Это возможно по двум причинам – неправильно отрегулированы фары или вообще не отрегулированы, или установлены лампы, несоответствующие рекомендованным. Такая ситуация может спровоцировать ДТП. Чтобы избежать этого, необходимо своевременно проводить проверку и регулировку фар. С этой задачей легко справляются приборы для проверки и регулировки света фар от известного итальянского производителя – компании TOP-AUTO.
Внесен в  ФЕДЕРАЛЬНЫЙ ИНФОРМАЦИОННЫЙ ФОНД ПО ОБЕСПЕЧЕНИЮ ЕДИНСТВА ИЗМЕРЕНИЙ ""АРШИН"" (https://fgis.gost.ru/fundmetrology/registry/4/items/1408564), а значит подходят для проверки и регулировки фар в соответствии с Техническим регламентом РФ №720 от 30.09.2009г., а также ГОСТ Р 51709-2001 как в автосервисах, так и на пунктах технического осмотра автотранспортных средств. 
Сочетает надежныю и эргономичную конструкцию из стали с передовой технологией. Подходит для проверки всех видов транспорта.
Стандартная комплектация:

    Буквенно-цифровой дисплей
    Зеркальный визир для точного позиционирования прибора с автомобилем
    Cтойка 1700 мм
    Передвижение оптической камеры по стойке с помощи щипцов и измерительной шкалы
    Регулируемый измерительный щит 0-4%
    Выход для информационной связи с компьютером или принтером по интерфейсу USB
    Цифровой люксометр (точность 1/100)
    Стеклянная линза для идеальной проекции
    Пузырьковый уровень

Техническое :

    Ручная регистрация правильного положения каждого типа лампы ближнего, дальнего света,противотуманные фары
    Автоматическая регистрация интенсивности света фар каждого типа
    Возможность регистрации данных клиента (номерной знак, названия сервиса, угол и высота положения фары)","Прибор проверки и регулировки света фар оптико-электронный, связь с персональным компьютером через порт USB, зеркальный визир, оптическая система центровки фары, основание на колесиках.",127920,"https://www.mkslift.ru/images/products/s_1200/5577_xpycvhWdyu.jpg","https://www.mkslift.ru/images/products/s_1200/5577_5uGgymKcHk.jpg, https://www.mkslift.ru/images/products/s_1200/5577_Cb2mdcmNF6.jpg","https://www.mkslift.ru/images/products/s_300/5577_xpycvhWdyu.jpg","HBA29E",," https://www.mkslift.ru/UserFiles/files/Certificates/TopAuto/EAC_HBA.pdf, https://www.mkslift.ru/UserFiles/files/Manuals/TOP/Comp_HBA!.pdf","Cover, 25010135, HB0240, HB0101, HB0120, 0HBV001HB00","TopAuto (Италия)","Бренд","Гарантия","12 мес.","Тип","электронный","Подходит для","галоген.","Жесткая упак.","да","Упак. размеры","1700/600/330 Д/Ш/В, мм","Вес брутто","43 кг.","Кол-во мест","1 шт.","Вес","39 кг.","Цвет","синий","Высота до центра фары","230-1460 мм.","Темп. диапазон","-15 - +45 С",,,,,,,,,,,,,,,,,,,,
"Покрасочная камера для грузовых и коммерческих автомобилей Saima  арт. Grand Size_general","Покрасочное-кузовное > Камеры легковые","
			Внутренние размеры кабины: длина 8,4-18 м (с шагом 1,2 м), ширина 5/6 м, высота 4,35/5 м.
Температура сушки — до 60 оС.
Конструкция кабины состоит из:

    Бетонного основания, двух полос решеток расположенных U-образно в ОСК. Размер одной решетки 250х250 мм.
    Допустимая максимальная нагрузка на решетку колесом окрашиваемых транспортных средств может составлять 3000 кг. Все элементы имеют горячую оцинковку.
    Утепленных мин ватой пластифицированных стеновых панелей толщиной 60 мм, состоящих из двух оцинкованных листов толщиной 10  мм каждый и покрытых пластиком с внешних сторон, со специальным антибликовым покрытием. Все панели изготовлены с использованием роботизированных технологий сварки и прессовки.
    Утепленного потолка
    Фильтров тонкой очистки по всей длине потолка кабины. Фильтры эффективны на 99,8% и соответствуют стандарту DIN53438 Class F1. Максимальная температура 100/120 С.
    Освещение* (7360 Вт):   верхнее наклонное – 24 светильника, каждый состоит из 4 ламп (24х4х40=3840 Вт) 

                                                          нижнее горизонтальное – 22 светильника, каждый состоит из 4 ламп (22х4х40=3520 Вт)
*Количество светильников зависит от длины камеры. Количество лап в светильнике может меняться.

    Роликовые ворота на въезде в покрасочно-сушильную камеру по всей площади.
    4-х створчатые  ворота (каждая створка со смотровым окном) шириной 4,8 м. и высотой 4,25/4,65 м., расположенные в середине камеры, которые делят ее на две равных части длинной 6 м. каждая.
    Роликовые ворота на выезде из покрасочно-сушильной камеры по всей площади.
    Служебная дверь со смотровым стеклом из плексиглаза.

Группа притока, состоящая из двух приточных элементов SAIMA 15, каждая из которых включает в себя:

    Дизельную/газовую горелку Baltur/Rielo
    Теплообменник из нержавеющей стали (AISI 430) 250/275/300 кВт
    Два нагнетающих вентилятора с двумя электродвигателями по 5,5/7,5 кВт каждый
    Фильтры предварительной очистки воздуха
    Автоматическую рециркуляционную заслонку, управляемую с пульта управления 
    Таймер сушки и счетчик рабочего времени

Группа вытяжки, состоящая из двух вытяжных элементов SAIMA 15, каждый из которых включает в себя:

    Два вытяжных вентилятора с двумя электродвигателями по 5,5/7,5 кВт каждый
    Фильтры окончательной очистки воздуха (предотвращают образование налета краски на лопатках вентилятора и появление вибрации)

Дополнительное оборудование: 

    Манометр
    Пульт управления всеми системами (380 В, 24 В)
    Угольные фильтра

Технические данные:
 

    
        
            
            Производительность вентиляционной системы
            
            
            64.000/70.000/76.000 м3/ч
            
        
        
            
            Скорость потока (в пустой камере)
            
            
            от 0,22 м/с
            
        
        
            
            Тепловая мощность
            
            
            250/275/300 кВт
            
        
        
            
            Тепловой КПД
            
            
            92 %
            
        
        
            
            Установленная электрическая мощность
            
            
            от 25,6 кВт
            
        
        
            
            Рециркуляция воздуха в режиме сушки
            
            
            90 %
            
        
        
            
            Освещенность
            
            
            от 3600 Вт
            
        
        
            
            Номинальная нагрузка на решетку (1 колесо)
            
            
            3000 кг","Покрасочно-сушильные камеры для коммерческих автомобилей и специальной техники.",,"https://www.mkslift.ru/images/products/s_1200/564_CNnc6yzTPF.jpg","https://www.mkslift.ru/images/products/s_1200/564_rwprQYZ8Ya.jpg, https://www.mkslift.ru/images/products/s_1200/564_qfyGp4vUDg.jpg, https://www.mkslift.ru/images/products/s_1200/564_MP2TYk5Rpm.jpg, https://www.mkslift.ru/images/products/s_1200/564_PzyQZ7hCCS.jpg, https://www.mkslift.ru/images/products/s_1200/564_XzFUTVkGWB.jpg, https://www.mkslift.ru/images/products/s_1200/564_yNkmwhDBhe.jpg, https://www.mkslift.ru/images/products/s_1200/564_4W8aR3gFEz.jpg, https://www.mkslift.ru/images/products/s_1200/564_mSfhmu97HB.jpg, https://www.mkslift.ru/images/products/s_1200/564_WMUCt8gMpy.jpg","https://www.mkslift.ru/images/products/s_300/564_CNnc6yzTPF.jpg","Grand Size_general",,"https://www.mkslift.ru/UserFiles/files/Certificates/EAC_Saima_210719.pdf",,"Saima (Италия)","Бренд","Гарантия","12 мес.","Сеть","220/380 В","Рядов решеток",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
